true	false	gap	ext	matrix	t_min	f_min
0.7	0.74	15	3	PAM250	1.491592082182074	4.736002870918675
0.7	0.62	15	3	MATIO	2.96034454850228	6.673869515922076
0.68	0.76	15	3	BLOSUM62	1.3087695354022153	4.509627188024828
0.7	0.8	15	3	PAM100	1.143803336541831	4.162388193741475
0.7	0.78	15	3	BLOSUM50	1.4990839996223284	4.687419701535287
