scores	norm_scores	matrix	labels	gap	ext
174.0	1.5818181818181818	PAM250	0	15	3
155.0	2.2794117647058822	PAM250	0	15	3
102.0	2.7567567567567566	PAM250	0	15	3
817.0	17.382978723404257	PAM250	0	15	3
622.0	4.54014598540146	PAM250	0	15	3
434.0	3.4173228346456694	PAM250	0	15	3
549.0	2.3262711864406778	PAM250	0	15	3
75.0	1.25	PAM250	0	15	3
492.0	8.2	PAM250	0	15	3
531.0	20.423076923076923	PAM250	0	15	3
300.0	7.317073170731708	PAM250	0	15	3
445.0	4.836956521739131	PAM250	0	15	3
415.0	2.9225352112676055	MATIO	1	15	3
341.0	3.2169811320754715	MATIO	1	15	3
354.0	2.925619834710744	MATIO	1	15	3
236.0	2.8433734939759034	MATIO	1	15	3
497.0	3.358108108108108	MATIO	1	15	3
211.0	4.906976744186046	MATIO	1	15	3
1633.0	5.573378839590443	MATIO	1	15	3
323.0	3.329896907216495	MATIO	1	15	3
329.0	3.6555555555555554	MATIO	1	15	3
270.0	2.967032967032967	MATIO	1	15	3
344.0	3.44	MATIO	1	15	3
277.0	2.6893203883495147	MATIO	1	15	3
514.0	2.839779005524862	MATIO	1	15	3
505.0	3.854961832061069	MATIO	1	15	3
382.0	3.8585858585858586	MATIO	1	15	3
558.0	3.1885714285714286	MATIO	1	15	3
546.0	3.664429530201342	MATIO	1	15	3
2729.0	8.86038961038961	MATIO	1	15	3
911.0	3.6586345381526106	MATIO	1	15	3
1289.0	4.028125	MATIO	1	15	3
1052.0	3.4045307443365695	MATIO	1	15	3
732.0	2.9516129032258065	MATIO	1	15	3
670.0	3.4183673469387754	MATIO	1	15	3
596.0	3.311111111111111	MATIO	1	15	3
264.0	3.3846153846153846	MATIO	1	15	3
618.0	3.911392405063291	MATIO	1	15	3
951.0	2.990566037735849	MATIO	1	15	3
791.0	3.8028846153846154	MATIO	1	15	3
819.0	5.6482758620689655	MATIO	1	15	3
683.0	5.253846153846154	MATIO	1	15	3
563.0	3.7533333333333334	MATIO	1	15	3
594.0	3.176470588235294	MATIO	1	15	3
630.0	4.846153846153846	MATIO	1	15	3
980.0	4.974619289340102	MATIO	1	15	3
982.0	4.161016949152542	MATIO	1	15	3
736.0	6.4	MATIO	1	15	3
1023.0	4.244813278008299	MATIO	1	15	3
582.0	3.5705521472392636	MATIO	1	15	3
531.0	3.0872093023255816	MATIO	1	15	3
583.0	4.818181818181818	MATIO	1	15	3
576.0	4.571428571428571	MATIO	1	15	3
329.0	2.8119658119658117	MATIO	1	15	3
352.0	2.7936507936507935	MATIO	1	15	3
577.0	3.085561497326203	MATIO	1	15	3
423.0	3.3046875	MATIO	1	15	3
436.0	3.37984496124031	MATIO	1	15	3
937.0	3.012861736334405	MATIO	1	15	3
504.0	3.230769230769231	MATIO	1	15	3
225.0	5.357142857142857	MATIO	1	15	3
170.0	3.8636363636363638	MATIO	1	15	3
334.0	3.883720930232558	MATIO	0	15	3
354.0	4.425	MATIO	0	15	3
236.0	4.627450980392157	MATIO	0	15	3
733.0	4.854304635761589	MATIO	0	15	3
246.0	3.7846153846153845	MATIO	0	15	3
377.0	3.8469387755102042	MATIO	0	15	3
916.0	6.1066666666666665	MATIO	0	15	3
797.0	25.70967741935484	MATIO	0	15	3
311.0	3.9367088607594938	MATIO	0	15	3
280.0	7.0	MATIO	0	15	3
1002.0	6.68	MATIO	0	15	3
205.0	4.361702127659575	MATIO	0	15	3
315.0	3.2142857142857144	MATIO	0	15	3
797.0	4.801204819277109	MATIO	0	15	3
1009.0	9.990099009900991	MATIO	0	15	3
548.0	4.528925619834711	MATIO	0	15	3
311.0	3.1414141414141414	MATIO	0	15	3
482.0	9.450980392156863	MATIO	0	15	3
663.0	33.15	MATIO	0	15	3
1232.0	6.484210526315789	MATIO	0	15	3
915.0	3.765432098765432	MATIO	0	15	3
1074.0	14.513513513513514	MATIO	0	15	3
436.0	4.844444444444444	MATIO	0	15	3
592.0	3.382857142857143	MATIO	0	15	3
792.0	3.583710407239819	MATIO	0	15	3
322.0	4.075949367088608	MATIO	0	15	3
464.0	2.9935483870967743	MATIO	0	15	3
1176.0	8.977099236641221	MATIO	0	15	3
717.0	3.172566371681416	MATIO	0	15	3
601.0	6.908045977011494	MATIO	0	15	3
791.0	3.309623430962343	MATIO	0	15	3
