	true	false	gap	ext	matrix	t_min	f_min
27	0.7	0.68	8	2	PAM250	1.1187767764035939	3.0211347067001473
28	0.7	0.68	9	2	PAM250	1.1056981280116631	3.0080032797944316
29	0.7	0.68	10	2	PAM250	1.0992592052524446	3.0011206517657603
30	0.7	0.68	11	2	PAM250	1.096700845714642	2.998317623257108
31	0.7	0.68	12	2	PAM250	1.0953598025745357	2.9992733252451362
32	0.7	0.68	13	2	PAM250	1.094752895800258	3.002373980929464
33	0.7	0.68	14	2	PAM250	1.0950813677980646	3.006039925869989
34	0.7	0.68	15	2	PAM250	1.094619263715353	3.010409367963994
35	0.7	0.68	16	2	PAM250	1.0970087625078049	3.015273595777722
36	0.7	0.68	17	2	PAM250	1.1000183970368353	3.0209366400967705
37	0.7	0.68	18	2	PAM250	1.1033151441841877	3.0268702201301045
38	0.7	0.74	19	2	PAM250	1.1066801507172068	3.1578978373329183
39	0.7	0.74	20	2	PAM250	1.1101990034040714	3.165571504723534
40	0.7	0.58	1	3	PAM250	2.9169259962493914	5.255542065939595
41	0.7	0.64	2	3	PAM250	2.5788751531880663	5.33542416464741
42	0.7	0.64	3	3	PAM250	2.269000658081941	5.052823194748046
43	0.7	0.66	4	3	PAM250	1.983947989220191	4.866676421305346
44	0.7	0.72	5	3	PAM250	1.7364675478860008	4.788984417309474
45	0.7	0.78	6	3	PAM250	1.5359076710480335	4.723975993707732
46	0.7	0.76	7	3	PAM250	1.482255425142135	4.597724445188952
47	0.7	0.78	8	3	PAM250	1.4713095172259165	4.598873420575281
48	0.7	0.78	9	3	PAM250	1.4336847878242949	4.542912772558603
49	0.7	0.76	10	3	PAM250	1.4085352910347424	4.471397235978605
50	0.7	0.74	11	3	PAM250	1.3891186997108176	4.423921613744624
51	0.7	0.74	12	3	PAM250	1.3795276437168669	4.4119121900633855
52	0.68	0.74	13	3	PAM250	1.3582482234749063	4.405937936947078
53	0.7	0.74	14	3	PAM250	1.3694691075016794	4.404615354740598
54	0.7	0.74	15	3	PAM250	1.3677510667594561	4.406368170299375
55	0.7	0.74	16	3	PAM250	1.3698973196396844	4.409213674013202
56	0.7	0.74	17	3	PAM250	1.3720273406977441	4.4127743122239815
57	0.7	0.74	18	3	PAM250	1.3742800611423067	4.417892371129953
58	0.7	0.74	19	3	PAM250	1.3768176904764298	4.424246592378061
59	0.7	0.74	20	3	PAM250	1.3796773344515032	4.430991831268165
60	0.7	0.58	1	4	PAM250	3.7709161493505916	6.922730434736144
