true	false	gap	ext	matrix	t_min	f_min
0.66	0.16	8	3	PAM100.txt	0.7	0.84
0.7	0.3	8	3	BLOSUM50.txt	0.7	0.86
0.68	0.26	8	3	BLOSUM62.txt	0.7	0.86
0.7	0.36	8	3	MATIO.txt	0.7	0.84
0.7	0.42	8	3	PAM250.txt	0.7	0.86
